id,title,url,rate,tag1,tag2,tag3,tag4,tag5,difficulty,budget,people,prep_time,cooking_time,total_time
1738,Ze cheesecake aux speculoos,https://www.marmiton.org/recettes/recette_ze-cheesecake-aux-speculoos_66724.aspx,4.4,dessert,gâteau,petits gâteaux,,,très facile,bon marché,4,10,40,50
1739,Gâteau moelleux au yaourt et pépites de chocolat,https://www.marmiton.org/recettes/recette_gateau-moelleux-au-yaourt-et-pepites-de-chocolats_340819.aspx,4.6,dessert,gâteau,gâteau au yaourt,,,très facile,bon marché,4,20,35,55
1740,Merveilles d'autrefois,https://www.marmiton.org/recettes/recette_merveilles-d-autrefois_66531.aspx,3.4,dessert,beignet et friture,beignets sucrés,,,très facile,bon marché,4,30,2,32
1741,Diplomate brioché,https://www.marmiton.org/recettes/recette_diplomate-brioche_36264.aspx,4.5,dessert,gâteau,autres gâteaux,,,facile,bon marché,4,30,1,31
1742,The brookies,https://www.marmiton.org/recettes/recette_the-brookies_327349.aspx,4.5,,,,,,moyenne,moyen,4,0,30,30
1743,Nid de Pâques,https://www.marmiton.org/recettes/recette_nid-de-paques_27895.aspx,4.6,,,,,,facile,moyen,4,20,25,45
1744,Petits pain au lait maison,https://www.marmiton.org/recettes/recette_petits-pain-au-lait-maison_220199.aspx,4.4,accompagnement,pain,pain au lait,,,facile,bon marché,4,150,10,160
1745,Crème mousseline,https://www.marmiton.org/recettes/recette_creme-mousseline_530082.aspx,5.0,dessert,,,,,moyenne,bon marché,4,30,0,30
1746,Tarte aux pommes et compote,https://www.marmiton.org/recettes/recette_tarte-aux-pommes-et-compote_81467.aspx,4.7,dessert,compote,compote de pomme,,,très facile,bon marché,4,20,30,50
1747,Mousse au citron,https://www.marmiton.org/recettes/recette_mousse-au-citron_24452.aspx,4.3,dessert,mousse,mousse citron,,,très facile,bon marché,4,15,5,20
1748,Crumble aux fruits rouges,https://www.marmiton.org/recettes/recette_crumble-aux-fruits-rouges_11050.aspx,4.7,dessert,crumble,crumble fruits rouges,,,très facile,bon marché,4,40,30,70
1749,Fruits à l'eau de vie,https://www.marmiton.org/recettes/recette_fruits-a-l-eau-de-vie_50775.aspx,4.8,,,,,,facile,assez cher,4,10,10,20
1750,Crêpes Suzettes faciles,https://www.marmiton.org/recettes/recette_crepes-suzettes-flambees-au-grand-marnier_46134.aspx,4.6,dessert,crêpe,crêpes sucrées,,,moyenne,assez cher,4,15,5,20
1751,Omelette norvégienne facile,https://www.marmiton.org/recettes/recette_omelette-norvegienne-facile_15701.aspx,4.8,dessert,omelette sucrée,,,,très facile,bon marché,4,5,5,10
1752,Gâteau moelleux aux figues fraîches,https://www.marmiton.org/recettes/recette_gateau-moelleux-aux-figues-fraiches_32469.aspx,4.6,dessert,gâteau,gâteaux aux fruits,,,très facile,moyen,4,15,30,45
1753,Zézettes de Sète maison d'Ingrid,https://www.marmiton.org/recettes/recette_zezettes-de-sete_224526.aspx,4.9,,,,,,moyenne,bon marché,4,0,0,0
1754,Gâteau aux courgettes,https://www.marmiton.org/recettes/recette_gateau-aux-courgettes_50480.aspx,4.4,,,,,,facile,bon marché,4,20,45,65
1755,Chinois à ma façon,https://www.marmiton.org/recettes/recette_chinois-a-ma-facon_21073.aspx,4.5,,,,,,facile,bon marché,4,5,50,55
1756,Gâteau aérien (crème fraîche) très rapide,https://www.marmiton.org/recettes/recette_gateau-aerien-creme-fraiche-tres-rapide_314416.aspx,4.4,,,,,,très facile,bon marché,4,5,35,40
1757,Fondant chocolat et pommes,https://www.marmiton.org/recettes/recette_fondant-chocolat-et-pommes_233222.aspx,4.5,dessert,gâteau,gâteau au chocolat,,,moyenne,bon marché,4,20,20,40
1758,Tarte aux abricots à l'ancienne,https://www.marmiton.org/recettes/recette_tarte-aux-abricots-a-l-ancienne_17988.aspx,4.2,dessert,tarte,tarte aux abricots,,,très facile,moyen,4,15,1,16
1759,Confiture de cassis,https://www.marmiton.org/recettes/recette_confiture-de-cassis_217644.aspx,5.0,,,,,,moyenne,moyen,4,1,1,2
1760,Sponge cake,https://www.marmiton.org/recettes/recette_sponge-cake_371803.aspx,4.2,dessert,gâteau,génoise,,,très facile,bon marché,4,25,45,70
1761,Flan au caramel de ma mamam,https://www.marmiton.org/recettes/recette_flan-au-caramel-de-ma-mamam_64820.aspx,4.9,dessert,sauce sucrée,caramel,,,très facile,bon marché,4,20,1,21
1762,Clafoutis aux framboises,https://www.marmiton.org/recettes/recette_clafoutis-aux-framboises_91089.aspx,4.6,dessert,flan,clafoutis,,,très facile,bon marché,4,10,30,40
1763,Compote de prunes facile au micro-ondes,https://www.marmiton.org/recettes/recette_compote-de-prunes-facile-au-micro-ondes_326537.aspx,2.3,,,,,,facile,bon marché,4,15,15,30
1764,Crêpes (sans lait),https://www.marmiton.org/recettes/recette_crepes-sans-lait_20827.aspx,4.6,dessert,crêpe,crêpes sucrées,,,très facile,bon marché,4,10,3,13
1765,Gâteau millefeuille russe au miel,https://www.marmiton.org/recettes/recette_gateau-millefeuille-russe-au-miel_334577.aspx,4.0,dessert,mille-feuille,,,,moyenne,bon marché,4,40,40,80
1766,Délicieux Moka café,https://www.marmiton.org/recettes/recette_delicieux-moka-cafe_325299.aspx,3.0,dessert,gâteau,gâteau au chocolat,,,facile,bon marché,4,30,20,50
1767,Flan aux Abricots maison,https://www.marmiton.org/recettes/recette_flan-aux-abricots-maison_23495.aspx,4.1,dessert,flan,,,,très facile,bon marché,4,15,45,60
1768,Gâteau de crêpes au chocolat,https://www.marmiton.org/recettes/recette_gateau-de-crepes-au-chocolat_14630.aspx,4.1,dessert,crêpe,crêpes sucrées,,,moyenne,bon marché,4,35,20,55
1769,Galette frangipane crème pâtissière moelleuse,https://www.marmiton.org/recettes/recette_galette-des-rois-moelleuse-a-la-creme-frangipane_66197.aspx,4.7,dessert,galette des rois,galette frangipane,,,facile,moyen,4,20,25,45
1770,Gâteau aux pommes moelleux et ultra rapide,https://www.marmiton.org/recettes/recette_gateau-aux-pommes-moelleux-et-ultra-rapide_17683.aspx,4.7,dessert,gâteau,gâteau aux pommes,,,très facile,bon marché,4,15,40,55
1771,Flan coco antillais,https://www.marmiton.org/recettes/recette_flan-coco-antillais_167281.aspx,5.0,dessert,flan,,,,facile,bon marché,4,15,1,16
1772,Crêpes à la bière,https://www.marmiton.org/recettes/recette_crepes-a-la-biere_15760.aspx,4.3,dessert,crêpe,crêpes sucrées,,,très facile,bon marché,4,1,2,3
1773,Tarte aux Quetsches d'Alsace,https://www.marmiton.org/recettes/recette_tarte-aux-quetsches-d-alsace_23380.aspx,4.8,dessert,tarte,tarte aux prunes,,,facile,bon marché,4,30,30,60
1774,Tarte au citron au Thermomix,https://www.marmiton.org/recettes/recette_tarte-au-citron-au-thermomix_382564.aspx,0.0,dessert,tarte,tarte au citron,,,très facile,bon marché,4,10,22,32
1775,Crumble d'été aux pêches,https://www.marmiton.org/recettes/recette_crumble-d-ete-aux-peches_23066.aspx,4.5,dessert,crumble,autres crumbles,,,très facile,moyen,4,20,20,40
1776,Petits gâteaux secs,https://www.marmiton.org/recettes/recette_petits-gateaux-secs_83423.aspx,4.8,dessert,gâteau,petits gâteaux,,,très facile,bon marché,4,15,10,25
1777,Gateau au yaourt sans oeufs,https://www.marmiton.org/recettes/recette_gateau-au-yaourt-sans-oeufs_62241.aspx,4.1,dessert,gâteau,gâteau au yaourt,,,facile,bon marché,4,20,30,50
1778,Tresses au miel,https://www.marmiton.org/recettes/recette_tresses-au-miel_165061.aspx,0.0,,,,,,moyenne,bon marché,4,25,15,40
1779,Fromage frais,https://www.marmiton.org/recettes/recette_fromage-frais_38947.aspx,4.2,,,,,,très facile,bon marché,4,10,5,15
1780,"Msemen, crêpes typiques du Maghreb",https://www.marmiton.org/recettes/recette_msemen_371797.aspx,3.0,dessert,crêpe,,,,facile,bon marché,4,25,15,40
1781,New York Roll facile,https://www.marmiton.org/recettes/recette_new-york-roll-facile_534727.aspx,0.0,dessert,viennoiseries,,,,facile,moyen,4,50,50,100
1782,Crème pâtissière facile,https://www.marmiton.org/recettes/recette_creme-patissiere-facile_28714.aspx,4.6,dessert,crème,crème pâtissière,,,très facile,bon marché,4,10,20,30
1783,Müesli Maison,https://www.marmiton.org/recettes/recette_muesli-maison_70791.aspx,4.6,,,,,,facile,bon marché,4,15,45,60
1784,Mug cake cookie moelleux sans oeuf,https://www.marmiton.org/recettes/recette_mug-cake-cookie-moelleux-sans-oeuf_328497.aspx,3.4,dessert,gâteau,petits gâteaux,,,facile,bon marché,4,5,1,6
1785,Pancakes au Thermomix,https://www.marmiton.org/recettes/recette_pancakes-au-thermomix_382578.aspx,5.0,dessert,crêpe,pancake,,,très facile,bon marché,4,15,0,15
1786,Verrine de fraises aux spéculoos,https://www.marmiton.org/recettes/recette_verrine-de-fraises-aux-speculoos_70168.aspx,4.7,dessert,gâteau,petits gâteaux,,,très facile,bon marché,4,20,0,20
1787,Beignets à la banane,https://www.marmiton.org/recettes/recette_beignets-a-la-banane_28413.aspx,4.6,dessert,beignet et friture,beignets sucrés,,,très facile,bon marché,4,10,5,15
1788,clafoutis aux abricots et aux amandes,https://www.marmiton.org/recettes/recette_clafoutis-aux-abricots-et-aux-amandes_71156.aspx,4.5,dessert,flan,clafoutis,,,très facile,bon marché,4,10,26,36
1789,Choux au craquelin,https://www.marmiton.org/recettes/recette_choux-au-craquelin_344341.aspx,4.4,,,,,,moyenne,bon marché,4,45,30,75
1790,Tarte à la rhubarbe meringuée alsacienne,https://www.marmiton.org/recettes/recette_tarte-a-la-rhubarbe-meringuee-alsacienne_37405.aspx,4.8,dessert,tarte,tarte à la rhubarbe,,,moyenne,bon marché,4,20,30,50
1791,Gâteau très chocolat (micro-ondes),https://www.marmiton.org/recettes/recette_gateau-tres-chocolat-micro-ondes_37080.aspx,4.6,dessert,gâteau,gâteau au chocolat,,,très facile,bon marché,4,5,5,10
1792,Crème renversée vite faite,https://www.marmiton.org/recettes/recette_creme-renversee-vite-faite_13451.aspx,4.7,dessert,crème,crème dessert,,,facile,bon marché,4,10,40,50
1793,Sablés de Noël au Thermomix,https://www.marmiton.org/recettes/recette_sables-de-noel-au-thermomix_392187.aspx,4.0,dessert,gâteau,petits gâteaux,,,facile,bon marché,4,15,10,25
1794,Gâteau Opéra,https://www.marmiton.org/recettes/recette_gateau-opera_24538.aspx,2.7,,,,,,difficile,assez cher,4,1,40,41
1795,Riz au lait de ma maman au Cookeo,https://www.marmiton.org/recettes/recette_riz-au-lait-de-ma-maman-au-cookeo_382506.aspx,3.8,dessert,crème,riz au lait,,,très facile,bon marché,4,10,15,25
1796,Gâteau nantais au beurre 1/2 sel,https://www.marmiton.org/recettes/recette_gateau-nantais-au-beurre-1-2-sel_55986.aspx,4.5,,,,,,très facile,bon marché,4,15,40,55
1797,Gâteau russe aux noisettes et au miel,https://www.marmiton.org/recettes/recette_gateau-russe-aux-noisettes-et-au-miel_53801.aspx,4.6,dessert,gâteau,cakes,,,très facile,moyen,4,30,40,70
1798,Gâteau fin à la rhubarbe,https://www.marmiton.org/recettes/recette_gateau-fin-a-la-rhubarbe_50290.aspx,4.7,dessert,gâteau,gâteaux aux fruits,,,facile,bon marché,4,10,30,40
1799,Crumble aux prunes,https://www.marmiton.org/recettes/recette_crumble-aux-prunes_42109.aspx,4.8,dessert,crumble,autres crumbles,,,très facile,bon marché,4,45,30,75
1800,Tarte fine aux nectarines,https://www.marmiton.org/recettes/recette_tarte-fine-aux-nectarines_39996.aspx,4.7,dessert,tarte,tarte aux pêches,,,facile,bon marché,4,30,30,60
1801,Gâteau licorne au Thermomix,https://www.marmiton.org/recettes/recette_gateau-licorne-au-thermomix_375128.aspx,5.0,dessert,desserts au Thermomix,,,,moyenne,moyen,4,40,45,85
1802,Tarte aux pommes facile et pas chère,https://www.marmiton.org/recettes/recette_tarte-aux-pommes-facile_92486.aspx,4.8,dessert,tarte,tarte aux pommes,,,facile,bon marché,4,30,35,65
1803,Blondie,https://www.marmiton.org/recettes/recette_blondie_349688.aspx,4.1,,,,,,très facile,bon marché,4,10,30,40
