id,title,url,rate,tag1,tag2,tag3,tag4,tag5,difficulty,budget,people,prep_time,cooking_time,total_time
1,Pot-au-feu facile,https://www.marmiton.org/recettes/recette_pot-au-feu-facile_44578.aspx,4.6,plat principal,plat unique,pot-au-feu,,,facile,moyen,4,30,2,32
2,Boeuf bourguignon : la vraie recette,https://www.marmiton.org/recettes/recette_boeuf-bourguignon_18889.aspx,4.8,plat principal,viande,viande en sauce,,,facile,moyen,4,1,4,5
3,Moules marinières,https://www.marmiton.org/recettes/recette_moules-marinieres_13214.aspx,4.4,plat principal,fruits de mer,moules,,,très facile,bon marché,4,45,15,60
4,Courgettes farcies,https://www.marmiton.org/recettes/recette_courgettes-farcies_11192.aspx,4.7,plat principal,plat unique,légumes farcis,,,moyenne,moyen,4,20,50,70
5,Filet mignon de porc à la moutarde,https://www.marmiton.org/recettes/recette_filet-mignon-de-porc-a-la-moutarde_36310.aspx,4.9,plat principal,viande,viande rôtie,,,très facile,moyen,4,18,47,65
6,Lasagnes à la bolognaise,https://www.marmiton.org/recettes/recette_lasagnes-a-la-bolognaise_18215.aspx,4.9,plat principal,"pâtes, riz, semoule",lasagne,,,moyenne,moyen,4,30,135,165
7,Aubergines au four,https://www.marmiton.org/recettes/recette_aubergines-au-four_13572.aspx,4.3,plat principal,plat végétarien,aubergine,,,très facile,bon marché,4,5,35,40
8,Couscous poulet et merguez facile,https://www.marmiton.org/recettes/recette_couscous-poulet-et-merguez-facile_17751.aspx,4.8,plat principal,plat unique,couscous,,,très facile,bon marché,4,30,35,65
9,"Pâtes à la '"carbonara'" à la française",https://www.marmiton.org/recettes/recette_pates-a-la-carbonara_80453.aspx,4.5,plat principal,"pâtes, riz, semoule",pâtes en sauce,,,très facile,bon marché,4,10,10,20
10,Poulet au four simple et savoureux,https://www.marmiton.org/recettes/recette_poulet-au-four-version-light_218020.aspx,4.8,plat principal,viande,viande rôtie,,,facile,moyen,4,15,140,155
11,Délicieuse marinade pour poulet,https://www.marmiton.org/recettes/recette_delicieuse-marinade-pour-poulet_345860.aspx,4.4,plat principal,viande,,,,très facile,bon marché,4,5,30,35
12,Cuisses de poulet au four,https://www.marmiton.org/recettes/recette_cuisses-de-poulet-au-four_67408.aspx,4.7,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,35,45
13,Rougail saucisse,https://www.marmiton.org/recettes/recette_rougail-saucisse_22851.aspx,4.7,plat principal,plat unique,rougail,,,très facile,bon marché,4,20,20,40
14,Tomates farcies facile,https://www.marmiton.org/recettes/recette_tomates-farcies-facile_63622.aspx,4.6,plat principal,plat unique,légumes farcis,,,très facile,bon marché,4,20,1,21
15,Rôti de boeuf au four tout simple,https://www.marmiton.org/recettes/recette_roti-de-boeuf-au-four-tout-simple_342546.aspx,4.3,plat principal,viande,viande rôtie,,,facile,bon marché,4,5,25,30
16,La pâte à galettes de blé noir traditionnelle,https://www.marmiton.org/recettes/recette_la-pate-a-galettes-de-ble-noir-traditionnelle_35351.aspx,4.4,plat principal,plat unique,"galette de sarrasin, crêpe salée",,,facile,bon marché,4,20,0,20
17,Andouillette sauce moutarde,https://www.marmiton.org/recettes/recette_andouillette-sauce-moutarde_19759.aspx,4.7,plat principal,viande,andouilette,,,facile,bon marché,4,5,30,35
18,Gigot d'agneau : la recette traditionnelle,https://www.marmiton.org/recettes/recette_gigot-d-agneau-a-l-ail-et-au-romarin_18696.aspx,4.8,plat principal,viande,viande rôtie,,,très facile,moyen,4,10,45,55
19,Croque-monsieur,https://www.marmiton.org/recettes/recette_croque-monsieur_19208.aspx,4.6,plat principal,plat unique,croque-monsieur,,,très facile,bon marché,4,10,5,15
20,Chili con carne facile,https://www.marmiton.org/recettes/recette_chili-con-carne-facile_15415.aspx,4.8,plat principal,plat unique,chili con carne et sin carne,,,très facile,bon marché,4,10,25,35
2566,Béchamel,https://www.marmiton.org/recettes/recette_bechamel_23880.aspx,4.9,sauce salée,béchamel,,,,très facile,bon marché,4,0,15,15
21,Pavés de saumon au four facile,https://www.marmiton.org/recettes/recette_paves-de-saumon-au-four-facile_80135.aspx,4.7,plat principal,poisson,,,,très facile,moyen,4,5,25,30
22,"Paëlla fruits de mer, chorizo et poulet de Patou",https://www.marmiton.org/recettes/recette_paella-fruits-de-mer-chorizo-et-poulet-de-patou_50730.aspx,4.8,plat principal,plat unique,paella,,,facile,moyen,4,35,35,70
23,Epaule d'agneau confite facile,https://www.marmiton.org/recettes/recette_epaule-d-agneau-confite-facile_67739.aspx,4.9,plat principal,viande,viande rôtie,,,facile,moyen,4,10,2,12
24,Souris d'agneau au miel et thym,https://www.marmiton.org/recettes/recette_souris-d-agneau-au-miel-et-thym_93493.aspx,4.8,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,205,215
25,Bo Bun (Vietnam),https://www.marmiton.org/recettes/recette_bo-bun-vietnam_26967.aspx,4.7,plat principal,plat unique,plats vietnamiens,,,facile,bon marché,4,30,5,35
26,La côte de bœuf au four facile et cuite à la perfection,https://www.marmiton.org/recettes/recette_la-cote-de-boeuf-au-four-facile-et-cuite-a-la-perfection_372549.aspx,4.6,plat principal,viande,viande rôtie,,,facile,assez cher,4,10,20,30
27,La Vraie Moussaka Grecque,https://www.marmiton.org/recettes/recette_la-vraie-moussaka-grecque_72593.aspx,4.9,plat principal,plat unique,moussaka,,,moyenne,bon marché,4,20,235,255
28,Rôti de porc tout simple,https://www.marmiton.org/recettes/recette_roti-de-porc-tout-simple_170153.aspx,4.5,plat principal,viande,viande rôtie,,,très facile,bon marché,4,5,45,50
29,Risotto aux champignons : la vraie recette,https://www.marmiton.org/recettes/recette_risotto-aux-champignons_312215.aspx,4.9,plat principal,"pâtes, riz, semoule",,,,moyenne,bon marché,4,45,30,75
30,Steak tartare,https://www.marmiton.org/recettes/recette_steak-tartare_18121.aspx,4.7,plat principal,viande,viande rôtie,,,facile,moyen,4,20,0,20
31,Poulet basquaise,https://www.marmiton.org/recettes/recette_poulet-basquaise_16969.aspx,4.7,plat principal,viande,viande en sauce,,,facile,moyen,4,20,1,21
32,Blanquette de veau : recette traditionnelle,https://www.marmiton.org/recettes/recette_blanquette-de-veau-facile_19219.aspx,4.9,plat principal,viande,viande en sauce,,,très facile,moyen,4,15,2,17
33,Filet mignon de porc rôti à la moutarde à l'ancienne,https://www.marmiton.org/recettes/recette_filet-mignon-de-porc-roti-a-la-moutarde-a-l-ancienne_165059.aspx,4.6,plat principal,viande,viande rôtie,,,facile,moyen,4,10,130,140
34,Lapin à la moutarde maison,https://www.marmiton.org/recettes/recette_lapin-a-la-moutarde-maison_15983.aspx,4.8,plat principal,viande,viande en sauce,,,très facile,bon marché,4,0,1,1
35,Rôti de veau au four,https://www.marmiton.org/recettes/recette_roti-de-veau-au-four_61313.aspx,4.7,plat principal,viande,viande rôtie,,,très facile,moyen,4,15,1,16
36,"Gratin de pâtes moelleux, facile et pas cher",https://www.marmiton.org/recettes/recette_gratin-de-pates-moelleux-facile-et-pas-cher_53247.aspx,5.0,plat principal,"pâtes, riz, semoule",gratin de pâtes,,,très facile,bon marché,4,15,10,25
37,Coquilles Saint Jacques à l'ancienne,https://www.marmiton.org/recettes/recette_coquilles-saint-jacques-a-l-ancienne_24318.aspx,4.8,plat principal,fruits de mer,saint-jacques,,,facile,moyen,4,40,30,70
38,Lotte à l'Armoricaine : recette savoureuse,https://www.marmiton.org/recettes/recette_lotte-a-l-armoricaine_16975.aspx,4.8,plat principal,poisson,poisson en sauce,,,facile,assez cher,4,20,40,60
39,Mont d'Or au four,https://www.marmiton.org/recettes/recette_mont-d-or-au-four_11287.aspx,4.8,plat principal,plats au fromage,Mont d'Or,,,très facile,moyen,4,10,20,30
40,Hachis Parmentier,https://www.marmiton.org/recettes/recette_hachis-parmentier_17639.aspx,4.8,plat principal,plat unique,hachis parmentier,,,facile,bon marché,4,25,20,45
41,Gnocchis faits maison,https://www.marmiton.org/recettes/recette_gnocchis-faits-maison_309952.aspx,4.6,plat principal,"pâtes, riz, semoule",Gnocchis,,,moyenne,bon marché,4,45,35,80
42,Tagliatelles au saumon frais,https://www.marmiton.org/recettes/recette_tagliatelles-au-saumon-frais_11354.aspx,4.6,plat principal,"pâtes, riz, semoule",tagliatelle,,,très facile,moyen,4,15,10,25
43,Rôti de porc : recette savoureuse,https://www.marmiton.org/recettes/recette_roti-de-porc-a-la-moutarde-et-au-miel_17178.aspx,4.6,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,1,11
44,Tortilla facile (Espagne),https://www.marmiton.org/recettes/recette_tortilla-facile-espagne_16245.aspx,4.4,plat principal,œufs,omelette,,,très facile,bon marché,4,15,20,35
45,Pad Thai,https://www.marmiton.org/recettes/recette_pad-thai_11946.aspx,4.3,plat principal,plat unique,plats thaï,,,facile,bon marché,4,30,15,45
46,Fajitas au poulet,https://www.marmiton.org/recettes/recette_fajitas-au-poulet_26631.aspx,4.8,plat principal,plat unique,plats mexicains,,,facile,moyen,4,10,28,38
47,Falafel (croquettes de pois chiches),https://www.marmiton.org/recettes/recette_falafel-croquettes-de-pois-chiches_23038.aspx,4.1,plat principal,viande,boulettes de viande,,,moyenne,bon marché,4,1,20,21
48,Aubergines à la Parmigiana,https://www.marmiton.org/recettes/recette_aubergines-a-la-parmigiana_36293.aspx,4.5,plat principal,plat végétarien,,,,facile,bon marché,4,30,1,31
49,Mafé poulet (Sénégal),https://www.marmiton.org/recettes/recette_mafe-poulet-senegal_18661.aspx,4.5,plat principal,plat unique,plats africains,,,facile,moyen,4,30,45,75
50,poulet au coco et curry,https://www.marmiton.org/recettes/recette_poulet-au-coco-et-curry_17803.aspx,4.8,plat principal,viande,viande en sauce,,,très facile,bon marché,4,15,1,16
51,Filet de poulet au curry,https://www.marmiton.org/recettes/recette_filet-de-poulet-au-curry_80990.aspx,4.9,plat principal,viande,viande en sauce,,,facile,bon marché,4,10,15,25
52,Cordon bleu,https://www.marmiton.org/recettes/recette_cordon-bleu_27731.aspx,4.8,plat principal,plat unique,cordon bleu,,,très facile,bon marché,4,10,8,18
53,Oeuf poché ultra simple,https://www.marmiton.org/recettes/recette_oeuf-poche-plus-simple-pas-possible_174102.aspx,4.4,plat principal,œufs,œuf poché,,,facile,bon marché,4,0,5,5
54,Carbonara traditionnelle,https://www.marmiton.org/recettes/recette_carbonara-traditionnelle_340808.aspx,4.7,plat principal,"pâtes, riz, semoule",pâtes en sauce,,,facile,bon marché,4,20,15,35
55,Galettes de pomme de terre,https://www.marmiton.org/recettes/recette_galettes-de-pomme-de-terre_14072.aspx,3.9,plat principal,plat végétarien,galette de légumes,,,facile,bon marché,4,25,10,35
56,Poulet rôti et ses pommes de terre,https://www.marmiton.org/recettes/recette_poulet-roti-et-ses-pommes-de-terre_43958.aspx,4.7,plat principal,viande,viande rôtie,,,très facile,bon marché,4,15,1,16
57,Curry de pois chiches,https://www.marmiton.org/recettes/recette_curry-de-pois-chiches_22535.aspx,4.8,plat principal,plat végétarien,curry de légumes,,,facile,bon marché,4,15,40,55
58,Boudin noir poêlé aux pommes,https://www.marmiton.org/recettes/recette_boudin-noir-poele-aux-pommes_27785.aspx,4.6,plat principal,viande,viande en sauce,,,facile,bon marché,4,25,45,70
59,Magret de canard au four,https://www.marmiton.org/recettes/recette_magret-de-canard-au-four_80687.aspx,4.6,plat principal,viande,viande rôtie,,,très facile,moyen,4,5,30,35
60,Langue de boeuf sauce piquante aux cornichons,https://www.marmiton.org/recettes/recette_langue-de-boeuf-sauce-piquante-cornichons_170277.aspx,4.8,plat principal,viande,abats,,,facile,moyen,4,30,145,175
61,Fondue aux poireaux,https://www.marmiton.org/recettes/recette_fondue-de-poireaux_20348.aspx,4.7,plat principal,plats au fromage,fondue au fromage,,,très facile,bon marché,4,30,30,60
62,Travers de porc grillés à la sauce barbecue,https://www.marmiton.org/recettes/recette_travers-de-porc-grilles-a-la-sauce-barbecue_22192.aspx,4.8,plat principal,viande,viande rôtie,,,facile,moyen,4,5,45,50
63,Calamars à l'armoricaine,https://www.marmiton.org/recettes/recette_calamars-a-l-armoricaine_31894.aspx,4.7,plat principal,fruits de mer,"calamar, poulpe",,,facile,moyen,4,15,1,16
64,Ailes de raie aux câpres,https://www.marmiton.org/recettes/recette_ailes-de-raie-aux-capres_172258.aspx,4.6,plat principal,poisson,,,,facile,moyen,4,5,15,20
65,Tajine traditionnel (Maroc),https://www.marmiton.org/recettes/recette_tajine-traditionnel-maroc_14163.aspx,4.8,plat principal,plat unique,tajine,,,très facile,bon marché,4,15,1,16
66,Paupiettes de veau,https://www.marmiton.org/recettes/recette_paupiettes-de-veau_82641.aspx,4.9,plat principal,viande,viande en sauce,,,très facile,bon marché,4,15,30,45
67,Moules marinières persillées,https://www.marmiton.org/recettes/recette_moules-marinieres-persillees_32408.aspx,4.7,plat principal,fruits de mer,moules,,,très facile,bon marché,4,20,10,30
68,Sauté de porc à la crème de moutarde,https://www.marmiton.org/recettes/recette_saute-de-porc-a-la-creme-de-moutarde_173829.aspx,4.7,plat principal,viande,viande en sauce,,,facile,bon marché,4,15,25,40
69,Riz cantonais facile,https://www.marmiton.org/recettes/recette_riz-cantonais-facile_27686.aspx,4.6,plat principal,"pâtes, riz, semoule",plat de riz,,,très facile,bon marché,4,20,30,50
70,Omelette nature,https://www.marmiton.org/recettes/recette_omelette-nature_21255.aspx,4.8,plat principal,œufs,omelette,,,facile,bon marché,4,5,10,15
71,Bar au four,https://www.marmiton.org/recettes/recette_bar-au-four_21505.aspx,4.8,plat principal,poisson,poisson au four,,,très facile,moyen,4,15,25,40
72,Pâte aux crevettes a la crème,https://www.marmiton.org/recettes/recette_pate-aux-crevettes-a-la-creme_171330.aspx,4.4,plat principal,fruits de mer,crevettes,,,très facile,bon marché,4,20,15,35
73,Poulet curry et oignons facile,https://www.marmiton.org/recettes/recette_poulet-curry-et-oignons-facile_13026.aspx,4.7,plat principal,viande,viande en sauce,,,très facile,bon marché,4,5,15,20
74,Camembert rôti au miel,https://www.marmiton.org/recettes/recette_camembert-roti-au-miel_45038.aspx,4.8,plat principal,plats au fromage,camembert,,,facile,bon marché,4,15,10,25
75,Sole meuniere,https://www.marmiton.org/recettes/recette_sole-meuniere_165182.aspx,4.8,plat principal,poisson,,,,facile,moyen,4,10,10,20
76,Oeufs brouillés nature,https://www.marmiton.org/recettes/recette_oeufs-brouilles-nature_30569.aspx,4.7,plat principal,œufs,œufs brouillés,,,très facile,bon marché,4,5,15,20
77,Rosbeef au four à l'ail,https://www.marmiton.org/recettes/recette_rosbeef-au-four-a-l-ail_232964.aspx,4.9,plat principal,viande,viande rôtie,,,facile,moyen,4,10,30,40
78,Escalopes milanaises comme en Italie,https://www.marmiton.org/recettes/recette_escalopes-milanaises-comme-en-italie_55750.aspx,4.8,plat principal,viande,viande rôtie,,,très facile,bon marché,4,25,10,35
79,Lentilles corail au curry,https://www.marmiton.org/recettes/recette_lentilles-corail-au-curry_40286.aspx,4.7,plat principal,viande,viande en sauce,,,très facile,bon marché,4,10,15,25
80,Navarin d'agneau,https://www.marmiton.org/recettes/recette_navarin-d-agneau_48254.aspx,4.8,plat principal,viande,viande en sauce,,,facile,moyen,4,20,2,22
81,Endives au jambon,https://www.marmiton.org/recettes/recette_endives-au-jambon_25868.aspx,4.5,plat principal,plat unique,endives au jambon,,,très facile,bon marché,4,15,55,70
82,Dos de cabillaud tout simple,https://www.marmiton.org/recettes/recette_dos-de-cabillaud-tout-simple_72532.aspx,4.7,plat principal,poisson,filets de poisson,,,très facile,assez cher,4,3,15,18
83,Véritable tajine poulet olives et citrons confits et huile d'argan,https://www.marmiton.org/recettes/recette_veritable-tajine-de-poulet-aux-citrons-confits-et-aux-olives_231929.aspx,4.7,plat principal,plat unique,tajine,,,facile,bon marché,4,15,130,145
84,Osso bucco de veau,https://www.marmiton.org/recettes/recette_osso-bucco-de-veau_16090.aspx,5.0,plat principal,viande,viande en sauce,,,facile,moyen,4,20,45,65
85,Dahl de lentilles corail,https://www.marmiton.org/recettes/recette_dahl-de-lentilles-corail_166862.aspx,4.5,plat principal,plat végétarien,dal,,,facile,bon marché,4,10,20,30
86,Tacos mexicains,https://www.marmiton.org/recettes/recette_tacos-mexicains_34389.aspx,4.6,plat principal,plat unique,plats mexicains,,,très facile,bon marché,4,30,25,55
87,Bourguignon de sanglier facile,https://www.marmiton.org/recettes/recette_bourguignon-de-sanglier-facile_232489.aspx,4.8,plat principal,viande,viande rôtie,,,facile,bon marché,4,20,130,150
88,Moules à la crème,https://www.marmiton.org/recettes/recette_moules-a-la-creme_33388.aspx,4.6,plat principal,fruits de mer,moules,,,facile,bon marché,4,15,20,35
89,Spaghetti bolognaise,https://www.marmiton.org/recettes/recette_spaghetti-bolognaise_19840.aspx,4.3,plat principal,"pâtes, riz, semoule",pâtes en sauce,,,très facile,bon marché,4,20,1,21
90,Marinade pour brochettes de poulet,https://www.marmiton.org/recettes/recette_marinade-pour-brochettes-de-poulet_58368.aspx,4.9,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,0,10
91,Fondue Savoyarde,https://www.marmiton.org/recettes/recette_fondue-savoyarde_21964.aspx,4.5,plat principal,plats au fromage,fondue au fromage,,,facile,assez cher,4,40,20,60
92,Nouilles chinoises aux légumes et aux épices,https://www.marmiton.org/recettes/recette_nouilles-chinoises-aux-legumes-et-aux-epices_21482.aspx,4.8,plat principal,"pâtes, riz, semoule",autres pâtes,,,très facile,bon marché,4,20,5,25
93,Poutine typiquement québécoise,https://www.marmiton.org/recettes/recette_poutine-typiquement-quebecoise_71199.aspx,3.6,plat principal,plats au fromage,poutine,,,facile,bon marché,4,15,10,25
94,Cannelloni de viande,https://www.marmiton.org/recettes/recette_cannelloni-de-viande_45211.aspx,4.5,plat principal,"pâtes, riz, semoule",autres pâtes,,,très facile,bon marché,4,20,1,21
95,Fish and Chips (la vraie pâte à friture anglaise),https://www.marmiton.org/recettes/recette_fish-and-chips-la-vraie-pate-a-friture-anglaise_22308.aspx,4.8,plat principal,poisson,fish and chips,,,très facile,bon marché,4,20,4,24
96,Pâtes au thon,https://www.marmiton.org/recettes/recette_pates-au-thon_13754.aspx,4.5,plat principal,"pâtes, riz, semoule",autres pâtes,,,très facile,bon marché,4,10,10,20
97,Pommes de terre farcies,https://www.marmiton.org/recettes/recette_pommes-de-terre-farcies_63959.aspx,4.6,plat principal,plat unique,légumes farcis,,,très facile,bon marché,4,15,55,70
98,Pâtes fraîches,https://www.marmiton.org/recettes/recette_pates-fraiches_11537.aspx,4.7,plat principal,"pâtes, riz, semoule",autres pâtes,,,difficile,bon marché,4,1,10,11
99,Boeuf Bourguignon rapide au Cookeo,https://www.marmiton.org/recettes/recette_boeuf-bourguignon-rapide-au-cookeo_383151.aspx,4.7,plat principal,viande,viande en sauce,,,très facile,bon marché,4,0,0,0
699,Tortilla froides au saumon (wraps),https://www.marmiton.org/recettes/recette_tortilla-froides-au-saumon-wraps_49542.aspx,4.8,plat principal,œufs,omelette,,,très facile,moyen,4,10,0,10
100,Filet de lieu noir  crème et moutarde,https://www.marmiton.org/recettes/recette_filet-de-lieu-noir-creme-et-moutarde_343779.aspx,4.9,plat principal,poisson,filets de poisson,,,très facile,moyen,4,15,30,45
101,Colombo de poulet,https://www.marmiton.org/recettes/recette_colombo-de-poulet_36849.aspx,4.6,plat principal,viande,viande en sauce,,,moyenne,moyen,4,10,50,60
102,Courgettes rondes farcies,https://www.marmiton.org/recettes/recette_courgettes-rondes-farcies_223873.aspx,4.8,plat principal,plat unique,légumes farcis,,,facile,bon marché,4,10,110,120
103,Côte de boeuf barbecue au gros sel,https://www.marmiton.org/recettes/recette_cote-de-boeuf-barbecue-au-gros-sel_39074.aspx,4.8,plat principal,viande,viande rôtie,,,facile,moyen,4,15,15,30
104,Tartiflette : la vraie recette,https://www.marmiton.org/recettes/recette_la-vraie-tartiflette_17634.aspx,4.7,plat principal,plats au fromage,tartiflette,,,très facile,bon marché,4,15,1,16
105,Côtes de porc au four,https://www.marmiton.org/recettes/recette_cotes-de-porc-au-four_65338.aspx,4.4,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,45,55
106,Boudins blancs aux pommes,https://www.marmiton.org/recettes/recette_boudins-blancs-aux-pommes_15610.aspx,4.7,plat principal,viande,viande en sauce,,,très facile,bon marché,4,15,10,25
107,Spaghetti au pesto maison,https://www.marmiton.org/recettes/recette_spaghetti-au-pesto-maison_27844.aspx,5.0,plat principal,"pâtes, riz, semoule",spaghetti,,,facile,moyen,4,20,10,30
108,Saucisses aux lentilles,https://www.marmiton.org/recettes/recette_saucisses-aux-lentilles_22979.aspx,4.7,plat principal,plat unique,saucisse lentilles,,,facile,bon marché,4,10,45,55
109,Courge spaghetti à la crème et aux lardons,https://www.marmiton.org/recettes/recette_courge-spaghetti-a-la-carbonara_64056.aspx,4.8,plat principal,plat unique,légumes farcis,,,très facile,bon marché,4,10,40,50
110,Steak de thon poêlé,https://www.marmiton.org/recettes/recette_steak-de-thon-poele_344161.aspx,4.9,plat principal,viande,viande rôtie,,,facile,bon marché,4,10,7,17
111,Boulettes de kefta à la marocaine,https://www.marmiton.org/recettes/recette_boulettes-de-kefta-a-la-marocaine_17570.aspx,4.7,plat principal,viande,boulettes de viande,,,très facile,bon marché,4,20,40,60
112,Seiches en persillade,https://www.marmiton.org/recettes/recette_seiches-en-persillade_38844.aspx,4.5,plat principal,fruits de mer,"calamar, poulpe",,,très facile,bon marché,4,5,15,20
113,Lasagnes à la bolognaise très facile,https://www.marmiton.org/recettes/recette_lasagnes-a-la-bolognaise-tres-facile_70480.aspx,4.7,plat principal,"pâtes, riz, semoule",lasagne,,,très facile,bon marché,4,20,45,65
114,Mac and cheese super rapide,https://www.marmiton.org/recettes/recette_mac-and-cheese-super-rapide_528915.aspx,3.9,plat principal,"pâtes, riz, semoule",macaronis,,,très facile,bon marché,4,5,15,20
115,Amour de saumon en papillote,https://www.marmiton.org/recettes/recette_amour-de-saumon-en-papillote_21494.aspx,4.7,plat principal,poisson,poisson en papillote,,,très facile,moyen,4,25,25,50
116,Welsh traditionnel à la bière brune,https://www.marmiton.org/recettes/recette_welsh-traditionnel-a-la-biere-brune_335586.aspx,4.3,plat principal,plat unique,carbonade,,,moyenne,moyen,4,25,15,40
117,poulet à la crème et champignons,https://www.marmiton.org/recettes/recette_poulet-a-la-creme-et-champignons_72353.aspx,4.6,plat principal,viande,viande en sauce,,,très facile,bon marché,4,10,1,11
118,Banh bao (paté de viande vietnamien),https://www.marmiton.org/recettes/recette_banh-bao-pate-de-viande-vietnamien_61858.aspx,4.8,plat principal,plat unique,plats vietnamiens,,,moyenne,moyen,4,20,10,30
119,Rôti de porc au miel et à la moutarde au Cookeo,https://www.marmiton.org/recettes/recette_roti-de-porc-cookeo_375097.aspx,4.0,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,40,50
120,Hot dog New Yorkais,https://www.marmiton.org/recettes/recette_hot-dog-new-yorkais_47180.aspx,4.8,plat principal,viande,viande rôtie,,,très facile,bon marché,4,5,5,10
121,Pâtes à la courgette,https://www.marmiton.org/recettes/recette_pates-a-la-courgette_18055.aspx,4.1,plat principal,"pâtes, riz, semoule",autres pâtes,,,facile,bon marché,4,10,30,40
122,Piperade basique,https://www.marmiton.org/recettes/recette_piperade-basique_36243.aspx,4.7,plat principal,plat unique,piperade,,,très facile,bon marché,4,20,25,45
123,Rouelle de porc à l'ancienne,https://www.marmiton.org/recettes/recette_rouelle-de-porc-a-l-ancienne_19807.aspx,4.7,plat principal,viande,,,,très facile,bon marché,4,10,1,11
124,hamburger maison,https://www.marmiton.org/recettes/recette_hamburger-maison_32672.aspx,4.6,plat principal,viande,viande rôtie,,,très facile,bon marché,4,5,5,10
125,Coq au vin maison,https://www.marmiton.org/recettes/recette_coq-au-vin-maison_25755.aspx,4.7,plat principal,viande,viande en sauce,,,facile,assez cher,4,30,2,32
126,Côtes de porc au curry et au miel,https://www.marmiton.org/recettes/recette_cotes-de-porc-au-curry-et-au-miel_39173.aspx,4.6,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,10,20
127,"Crêpes au Sarrasin farcies à l''oeuf, fromage et jambon",https://www.marmiton.org/recettes/recette_crepes-au-sarrasin-farcies-a-l-oeuf-fromage-et-jambon_71106.aspx,4.8,plat principal,plat unique,"galette de sarrasin, crêpe salée",,,facile,bon marché,4,5,20,25
128,Noix de Saint Jacques,https://www.marmiton.org/recettes/recette_noix-de-saint-jacques_20420.aspx,4.4,plat principal,fruits de mer,saint-jacques,,,très facile,moyen,4,0,10,10
129,écrevisses à l'américaine,https://www.marmiton.org/recettes/recette_ecrevisses-a-l-americaine_164549.aspx,4.7,plat principal,fruits de mer,crustacés,,,moyenne,moyen,4,40,35,75
130,Porc caramel,https://www.marmiton.org/recettes/recette_porc-caramel_72335.aspx,4.7,plat principal,viande,viande en sauce,,,facile,bon marché,4,10,40,50
131,Blanquette de veau facile au Cookeo,https://www.marmiton.org/recettes/recette_blanquette-de-veau-facile-au-cookeo_383136.aspx,5.0,plat principal,viande,viande en sauce,,,très facile,moyen,4,25,45,70
132,Dorade au four,https://www.marmiton.org/recettes/recette_dorade-au-four_339422.aspx,2.8,plat principal,poisson,poisson au four,,,facile,bon marché,4,20,25,45
133,Roti de Porc fondant,https://www.marmiton.org/recettes/recette_roti-de-porc-fondant_51874.aspx,4.7,plat principal,viande,viande rôtie,,,très facile,bon marché,4,15,130,145
134,Burger maison,https://www.marmiton.org/recettes/recette_home-burger_93645.aspx,5.0,plat principal,viande,viande rôtie,,,très facile,bon marché,4,30,10,40
135,Joue de porc à la bière,https://www.marmiton.org/recettes/recette_joue-de-porc-a-la-biere_36896.aspx,4.9,plat principal,viande,viande en sauce,,,très facile,bon marché,4,5,220,225
136,Poivrons farcis,https://www.marmiton.org/recettes/recette_poivrons-farcis_94368.aspx,4.6,plat principal,plat unique,légumes farcis,,,très facile,bon marché,4,25,1,26
137,Carbonades flamandes traditionnelles,https://www.marmiton.org/recettes/recette_carbonades-flamandes-traditionnelles_29711.aspx,4.8,plat principal,plat unique,carbonade,,,très facile,bon marché,4,30,310,340
138,Ris de Veau aux champignons,https://www.marmiton.org/recettes/recette_ris-de-veau-aux-champignons_32436.aspx,4.8,plat principal,viande,abats,,,moyenne,assez cher,4,3,42,45
139,Filet mignon de porc fondant en cocotte,https://www.marmiton.org/recettes/recette_filet-mignon-de-porc-fondant-en-cocotte_63628.aspx,4.6,plat principal,viande,viande rôtie,,,facile,moyen,4,30,1,31
140,Véritables raviolis japonais de A à Z (Gyoza),https://www.marmiton.org/recettes/recette_veritables-raviolis-japonais-de-a-a-z-gyoza_166959.aspx,4.7,plat principal,plat unique,plats japonais,,,moyenne,moyen,4,1,5,6
141,Poulet basquaise au Cookeo,https://www.marmiton.org/recettes/recette_poulet-basquaise_529186.aspx,0.0,plat principal,viande,viande en sauce,,,facile,bon marché,4,15,13,28
142,Filet mignon en croûte,https://www.marmiton.org/recettes/recette_filet-mignon-en-croute_14407.aspx,4.8,plat principal,viande,viande rôtie,,,très facile,bon marché,4,15,45,60
143,Tagliatelles au saumon fumé,https://www.marmiton.org/recettes/recette_tagliatelles-au-saumon-fume_29803.aspx,4.7,plat principal,"pâtes, riz, semoule",tagliatelle,,,facile,moyen,4,10,15,25
144,Nuggets de poulet faciles,https://www.marmiton.org/recettes/recette_ze-nuggets-de-poulet_172370.aspx,4.7,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,10,20
145,Tête de veau à la vinaigrette,https://www.marmiton.org/recettes/recette_tete-de-veau-a-la-vinaigrette_25659.aspx,4.6,plat principal,viande,abats,,,facile,moyen,4,20,1,21
