recette_id,unit,quantity,ingredient
1,,,poivre
1,,,sel
1,,,muscade
1,,20,crème fraîche
1,,30,beurre
1,,200,lardons
1,,200,pâte brisée
1,,3,oeufs
1,,20,lait
2,,,sel
2,,,poivre
2,,4,clous de girofle
2,,1,oignon
2,,2,poireaux
2,,5,carottes
2,,1,boeuf
2,,,os à moelle
2,,4,rave
2,branches,2,céleri
2,gousse,1,ail
2,,1,bouquet garni
3,,,poivre
3,,,sel
3,,100,beurre
3,bouteille,1,vin rouge
3,,4,carottes
3,,4,oignons
3,,600,bourguignon
3,,1,bouquet garni
4,,,sel
4,,,poivre
4,,1,feuille de laurier
4,brin,1,thym
4,,500,tomate
4,,350,oignon
4,,350,poivron
4,,350,courgette
4,,350,aubergine
4,gousses,3,ail
4,cuillères à soupe,6,huile d'olive
5,cuillères à soupe,3,sucre
5,cuillère à café,0.5,sel
5,,150,beurre
5,,300,farine
5,,8,eau
6,,,poivre
6,,,sel
6,,,persil
6,cuillère à café,1,farine
6,,30,beurre
6,,4,moules
6,,2,échalotes
6,,15,vin blanc sec
7,cuillères à soupe,3,huile d'olive
7,sachet,1,levure
7,cuillères à café,2,sel
7,,350,farine
7,,25,eau
8,,50,fromage râpé
8,,1,oignon
8,,50,huile d'olive
8,,,sel
8,,,poivre
8,,2,courgettes
8,,600,porc
8,,20,coulis de tomate
9,,500,pomme de terre
10,,,beurre
10,,,moutarde
10,,40,crème fraîche
10,,1,bouillon de légumes
10,,1,filet mignon
10,,25,vin blanc sec
10,,500,champignon
10,,,huile d'olive
11,,125,beurre
11,,100,farine
11,,,poivre
11,,,sel
11,,70,fromage râpé
11,pincées,3,muscade
11,,,thym
11,,2,feuilles de laurier
11,,20,vin rouge
11,,800,purée de tomate
11,,1,carotte
11,,3,oignons jaunes
11,paquet,1,lasagnes
11,gousses,2,ail
11,branche,1,céleri
11,,600,boeuf haché
11,,15,eau
11,,,basilic
11,,125,Parmesan
11,,1,lait
12,,,poivre
12,,,sel
12,,,muscade
12,,100,beurre
12,,1.5,pomme de terre
12,gousses,2,ail
12,,30,crème
12,,1,lait
13,,,sel
13,,,poivre
13,,,huile d'olive
13,,4,aubergines
13,,,herbes de Provence
14,,400,pois chiches
14,,2,courgettes
14,,5,carottes
14,,3,tomates
14,,2,cubes de bouillon
14,cuillère à café,1,harissa
14,,12,merguez
14,,8,pilons de poulet
14,,,huile d'olive
14,boîtes,2,concentré de tomates
14,cuillères à soupe,3,épices à couscous
14,,10,navets
15,,1,oignon
15,,250,lardons
15,,,poivre
15,pincée,1,sel
15,,50,crème fraîche
15,,500,pâtes
15,,3,jaunes d'oeuf
16,,,poivre
16,,1,sel
16,,,feuille de laurier
16,poignée,1,tomates cerise
16,,2,oignons
16,,1,poulet
16,gousses,3,ail
16,,1,jus de citron
16,,1,bouillon de volaille
17,cuillères à soupe,2,huile
17,cuillères à soupe,2,vinaigre balsamique
17,cuillères à soupe,2,miel
17,,,sel
17,,,poivre
17,,4,blancs de poulet
17,cuillères à soupe,2,jus de citron
17,cuillère,1,sauce soja
17,gousses,2,ail
18,,1,clou de girofle
18,,2,feuilles de laurier
18,cuillère à café,1,thym
18,,1,oignon
18,,4,cuisses de poulet
18,,50,eau
18,gousse,1,ail
18,,1,bouillon de volaille
18,,3,genièvre
18,cuillère à soupe,1,huile d'olive
19,,1,piment
19,cuillère à café,1,curcuma
19,,,sel
19,,,poivre
19,,,thym
19,,4,oignons
19,,4,tomates
19,,6,saucisses
19,gousses,6,ail
19,,,laurier
19,,,huile d'olive
20,,200,fromage râpé
20,,20,sauce tomate
20,pincée,1,poivre
20,pincées,2,sel
20,cuillère à café,0.5,bicarbonate
20,sachet,1,levure
20,,300,Farine à pizza
20,,20,eau
20,,250,viande
20,pincée,1,herbes de Provence
20,,8,olives noires
20,pincées,2,sel
20,pincées,2,paprika
21,,,sel
21,,,poivre
21,,,beurre
21,,,persil
21,,,thym
21,,3,oignons
21,,4,tomates
21,,500,chair à saucisse
21,gousses,2,ail
22,,1,thym
22,,1,sel
22,,1,poivre
22,,400,rôti de boeuf
22,gousse,1,ail
22,cuillères à soupe,2,huile d'olive
22,,12,eau
23,,10,gros sel
23,,330,farine de blé noir
23,,75,eau
23,,1,oeuf
24,bonne,1,moutarde
24,,4,andouillette
24,,20,crème
24,,1,échalote
25,cuillère à soupe,1,gros sel
25,branches,2,romarin
25,,1,gigot d'agneau
25,gousses,2,ail
25,,,graisse d'oie
25,,,ail
26,,,sel
26,,,poivre
26,pincée,1,muscade
26,,100,gruyère râpé
26,tranches,4,jambon
26,,50,beurre tendre
26,tranches,8,pain de mie
26,tranches,8,toastinette
26,cuillères à soupe,4,lait
27,,,persil
27,,,poivre
27,,,sel
27,,30,bouillon de boeuf
27,grosse,1,haricots rouges
27,cuillères à café,2,cumin en poudre
27,cuillère à café,1,chili
27,,2,oignons
27,,50,beurre
27,gousses,2,ail
27,,500,boeuf haché
27,,65,concentré de tomates
28,,,sel
28,,,poivre
28,doses,3,safran
28,,2,oignons
28,,1,tomate
28,,2,poivrons
28,,500,riz
28,,1,filet de poulet
28,,500,calamar
28,,1,moules
28,,15,crevettes
28,,1,chorizo
28,gousses,3,ail
28,,1,bouillon de volaille
28,cuillères à soupe,5,huile d'olive
29,,,romarin
29,,,thym
29,,,poivre
29,,,fleur de sel
29,,,harissa
29,,1.5,épaule d'agneau
29,,12,échalotes
29,gousses,8,ail
29,,5,huile d'olive
30,,,sel
30,,,poivre
30,cuillères à soupe,4,miel
30,branches,6,thym
30,,4,souris d'agneau
30,,1,ail
30,cuillères à soupe,10,huile d'olive
31,bol,0.5,vinaigre
31,bols,2,sucre
31,bols,4,eau
31,bol,1,nuoc mam
31,sachet,1,vermicelles de riz
31,,,sel
31,,,poivre
31,cuillère à soupe,1,curry
31,,700,boeuf
31,gousse,1,ail
31,cuillères à soupe,3,sauce d'huître
31,cuillères,3,soja
31,cuillère à café,1,glutamate
31,,,coriandre
31,,,batavia
31,,300,soja
31,,,menthe
31,,,arachide
31,,8,nems
32,,,sel
32,cuillères à café,3,vinaigre balsamique
32,cuillères à soupe,3,miel
32,,2,Magrets de Canard
33,,,sel
33,,,poivre
33,,100,gruyère râpé
33,grosses,2,farine
33,,10,crème fraîche
33,,3,oeufs
33,,0.25,lait
33,,150,dés de jambon
34,,1,côte de boeuf
34,,,huile
34,,,fleur de sel
34,,,poivre
34,brins,5,thym
35,,,sel
35,,,poivre
35,,,muscade
35,cuillère à soupe,1,miel
35,,30,beurre
35,,,huile d'olive
35,,1,oignon
35,,5,tomates
35,,2,aubergines
35,,6,pommes de terre
35,,500,boeuf haché
35,,1,cannelle
35,cuillères à soupe,3,farine
35,,20,beurre
35,,35,lait
36,,200,beurre
36,cuillère à café,1,sel
36,,50,farine
36,,200,farine
36,,100,eau
37,,,sel
37,,,poivre
37,,25,beurre
37,,1,rôti de porc
37,filet,1,huile d'olive
37,gousse,1,ail
37,,5,eau
38,pincée,1,poivre
38,pincée,1,sel
38,brins,2,persil
38,,1,oignon
38,,1,bouillon de légumes
38,,1,beurre
38,filet,1,huile d'olive
38,,250,champignon
38,,200,riz
38,,20,vin blanc sec
38,cuillère à soupe,1,Parmesan
38,gousse,1,ail
38,,1,échalote
39,cuillère à café,1,persil
39,cuillères à soupe,2,huile d'olive
39,,,sel
39,,,poivre
39,goutte,,tabasco
39,cuillère à soupe,1,oignon
39,cuillère à café,1,moutarde de Dijon
39,,250,boeuf
39,,1,jaune d'oeuf
39,cuillère à soupe,1,câpres
39,cuillère à café,1,sauce worcestershire
39,cuillère à soupe,1,ketchup
40,,,muscade
40,,,sel
40,,,poivre
40,,200,gruyère râpé
40,,20,crème fraîche
40,,4,courgettes
40,,6,pommes de terre
41,,,poivre
41,,,sel
41,cuillère à café,1,curry
41,,20,noix de saint-jacques
41,,15,crème
42,,,poivre
42,,,sel
42,cuillères à soupe,6,huile d'olive
42,,3,oignons
42,,700,poivron
42,,1,tomate
42,,1,poulet
42,gousses,3,ail
42,,20,vin blanc
42,,1,bouquet garni
43,,,poivre
43,,,sel
43,,,farine
43,,1,crème fraîche
43,,1,oignon jaune
43,,2,carottes
43,,1,cube de bouillon
43,,1,blanquette de veau
43,,1,bouillon de poule
43,petite boîte,1,champignon
43,,,citron
43,,1,jaune d'oeuf
43,,25,vin blanc
44,,,poivre
44,,,sel
44,branches,2,thym
44,,50,beurre
44,pot,1,moutarde à l'ancienne
44,,2,filets mignons
44,cuillères,4,huile d'olive
44,,2,pomme de terre
44,branches,2,laurier
45,,1,carotte
45,morceau,1,sucre
45,,,sel
45,,,poivre
45,,,persil
45,branche,1,thym
45,,3,feuilles de laurier
45,,,huile d'olive
45,,1,crème fraîche
45,,1,moutarde de Dijon
45,,1,lapin
45,bouteille,1,vin blanc sec
45,gousses,2,ail
45,,5,échalotes
46,,,poivre
46,,,sel
46,,,huile de tournesol
46,,1,rôti de veau
46,gousses,4,ail
46,boîte,1,champignons de Paris
47,,,moutarde de Dijon
47,,4,tomates
47,,1,pâte brisée
47,,,herbes de Provence
47,,,huile d'olive
48,,1,tomate
48,,,sel
48,,,poivre
48,,,gruyère râpé
48,cuillères à soupe,3,crème fraîche
48,,100,lardons
48,,200,coquillettes
48,,2,champignons de Paris
49,,,sel
49,,,poivre
49,cuillère à soupe,1,farine
49,,30,beurre
49,,250,crème fraîche
49,,500,coquille saint-jacques
49,,0.25,vin blanc sec
49,,2,échalotes
49,,2,oeufs
49,demi,1,citron
49,,,chapelure
50,,,poivre
50,,,sel
50,pincée,1,piment de Cayenne
50,cuillères à soupe,2,huile d'arachide
50,,20,beurre
50,,5,cognac
50,,12,oignons
50,,1,queue
50,petite boîte,1,tomates pelées
50,cuillère à soupe,1,concentré de tomates
50,,4,échalotes
50,gousse,1,ail
50,,20,vin blanc sec
51,,1,mont d'or
51,,5,vin blanc
52,,1,piment de Cayenne
