recette_id,unit,quantity,ingredient
2574,,2,pêches
2574,,50,framboises
2575,,0.5,citron vert
2575,,,framboises
2575,,,martini blanc
2575,,,cassonade
2576,,5,sucre de canne
2576,,75,vin
2576,,10,citron vert
2576,,10,cointreau
2577,,,sel
2577,,,poivre
2577,,,tabasco
2577,,6,tomate
2577,,3,vodka
2577,,1,jus de citron
2577,,,sauce Worcester
2578,gousses,2,vanille
2578,,1,orange
2578,,200,sucre de canne
2578,,4,vin blanc
2578,,50,limonade
2578,,6,pêches
2578,bâton,1,cannelle
2579,cuillères,3,sucre en poudre
2579,cuillères,2,café
2579,,25,lait
2579,poignée,1,glace pilée
2580,cuillère à café,1,gingembre
2580,,1,concombre
2580,,1,citron
2580,feuilles,12,menthe
2580,,2,eau
2581,,2,oranges
2581,,4,fraises
2581,,25,liqueur
2581,,75,limonade
2581,,1,pomme
2581,,0.5,concombre
2581,,1,citron
2581,feuille,,menthe
2582,,2,crème fraîche
2582,,5,jus d'ananas
2582,,1,lait de coco
2582,,1,sirop
2583,cuillère à café,1,anis
2583,cuillère à café,0.3333333,gingembre
2583,,1,clou de girofle
2583,,1,feuille de laurier
2583,cuillère à café,1.5,coriandre
2583,gousses,10,cardamome
2584,,800,sucre
2584,,1,vin
2584,verre,1,liqueur
2584,feuilles,6,cassis
2584,,1,cassis
2585,,25,lait demi-écrémé
2585,cuillère à café,1,miel
2585,,1,banane
2585,,0.5,citron
2586,,1,sucre
2586,,2,prune
2586,,1.5,eau
2587,,7,martini blanc
2587,belle,1,citron
2587,,20,limonade
2588,cuillère,0.5,bicarbonate
2588,cuillères,2,sucre en poudre
2588,,50,eau
2588,,,citron
2589,,4,vodka
2589,,2,triple sec
2589,,2,jus de cranberries
2589,,1,jus de citron
2590,,30,jus d'ananas
2590,,30,jus de citron
2590,verres,2,jus d'orange
2590,cuillères à café,3,sirop de grenadine
2590,,,glaçons
2591,,,extrait de café
2591,cuillères à café,6,sucre en poudre
2591,,1,lait
2591,cuillères,6,café
2591,,,eau
2591,,,glaçons
2592,,150,sucre semoule
2592,,3,poivre blanc
2592,,3,clous de girofle
2592,,500,cerises
2592,,250,groseilles
2592,,250,framboises
2592,,0.25,eau
2593,,30,kéfir
2593,,50,lait entier
2594,,60,rhum
2594,,6,citrons verts
2594,sachets,2,menthe
2594,,1,limonade
2594,,20,sirop de sucre de canne
2595,cuillères à soupe,2,sucre
2595,sachets,2,thé
2595,sachet,1,thé vert
2595,,1,citron
2595,,,menthe
2596,,1,sucre semoule
2596,,1,gingembre
2596,,4,eau
2596,sachets,2,sucre vanillé
2596,feuille,,menthe
2596,,3,citrons
2597,cuillères à soupe,6,sucre de canne
2597,brins,10,menthe
2597,,3,citrons verts
2597,,40,jus de pomme
2597,,1,eau gazeuse
2598,,0.5,citron vert
2598,doses,2,gin
2598,doses,3,jus de cranberries
2599,,25,whisky
2599,,100,sucre
2599,,2,jaunes d'oeuf
2599,sachets,2,sucre vanillé
2599,cuillère à soupe,1,cacao
2599,cuillère,1,café soluble
2599,,50,crème fraîche liquide
2600,,4,bananes
2600,verres,2,sucre de canne
2600,bouteille,0.5,rhum
2600,,1,jus d'orange
2600,,1,jus d'ananas
2600,,1,mangue
2600,,1,jus d'abricot
2601,,1,carotte
2601,,3,oranges
2601,,3,pommes
2601,,1,kiwi
2602,cuillères à soupe,5,sucre semoule
2602,,1,pomme
2602,,80,eau
2603,,10,jus de citron
2603,,10,sirop de canne
2603,,1,blanc d'oeuf
2603,gouttes,16,angostura
2603,,4,glaçons
2604,,3,rhum ambré
2604,,3,rhum blanc
2604,,2,"triple sec (cointreau, grand marnier)"
2604,,1,sirop de sucre de canne
2604,,3,jus de citrons verts
2604,,1,sirop d'orgeat
2605,,300,sucre
2605,,40,hampes
2605,,2,citrons
2605,,1,eau
2606,,,muscade
2606,,2,clous de girofle
2606,,4,oranges
2606,gousse,0.5,vanille
2606,,500,sucre
2606,,2.5,vin rosé
2606,,0.5,eau
2606,,1,citron
2607,,1,liqueur de menthe verte (get 27)
2607,,2,téquila
2607,,2,crème de whisky (baileys)
2608,,2,fraises
2608,,6,"rhum cubain (havana club, bacardi)"
2608,,8,feuilles de menthe
2608,,0.5,citron vert
2608,,6,jus de fraises
2608,,2,sirop de sucre de canne
2609,,2,calvados
2609,,5,bière blonde
2609,,3,vin blanc
2609,,1,sirop de grenadine
2609,,1,sirop de citrons
2610,,2,sucre
2610,,25,fleurs de sureau
2610,,25,acidifiant
2610,,3,eau
2610,,3,citrons
2611,,1,muscade
2611,gousses,2,vanille
2611,cuillère,1,gingembre
